지하철역ID,지하철역명,출입구번호,검색키워드,위도,경도
1067080129,천마산,1,천마산역 1번 출구,37.6102072578868,126.92998576213
1067080129,천마산,2,천마산역 2번 출구,37.6102072578868,126.92998576213
1067080130,마석,1,마석역 1번 출구,37.6102072578868,126.92998576213
1067080130,마석,2,마석역 2번 출구,37.6102072578868,126.92998576213
1067080131,대성리,1,대성리역 1번 출구,37.6102072578868,126.92998576213
1067080131,대성리,2,대성리역 2번 출구,37.6102072578868,126.92998576213
1067080132,청평,1,청평역 1번 출구,37.6102072578868,126.92998576213
1067080132,청평,2,청평역 2번 출구,37.6102072578868,126.92998576213
1067080133,상천,1,상천역 1번 출구,37.6102072578868,126.92998576213
1067080134,가평,1,가평역 1번 출구,37.6102072578868,126.92998576213
1067080135,굴봉산,1,굴봉산역 1번 출구,37.6102072578868,126.92998576213
1067080135,굴봉산,2,굴봉산역 2번 출구,37.6102072578868,126.92998576213
1067080136,백양리,1,백양리역 1번 출구,37.6102072578868,126.92998576213
1067080137,강촌,1,강촌역 1번 출구,37.6102072578868,126.92998576213
1067080138,김유정,1,김유정역 1번 출구,37.6102072578868,126.92998576213
1067080139,남춘천,1,남춘천역 1번 출구,37.6102072578868,126.92998576213
1067080139,남춘천,2,남춘천역 2번 출구,37.6102072578868,126.92998576213
1067080139,남춘천,3,남춘천역 3번 출구,37.6102072578868,126.92998576213
1067080140,춘천,1,춘천역 1번 출구,37.6102072578868,126.92998576213
1067080140,춘천,2,춘천역 2번 출구,37.6102072578868,126.92998576213
1069073110,계양,1,계양역 1번 출구,37.6102072578868,126.92998576213
1069073111,귤현,1,귤현역 1번 출구,37.6102072578868,126.92998576213
1069073112,박촌,1,박촌역 1번 출구,37.6102072578868,126.92998576213
1069073112,박촌,2,박촌역 2번 출구,37.6102072578868,126.92998576213
1069073112,박촌,3,박촌역 3번 출구,37.6102072578868,126.92998576213
1069073112,박촌,4,박촌역 4번 출구,37.6102072578868,126.92998576213
1069073113,임학,1,임학역 1번 출구,37.6102072578868,126.92998576213
1069073113,임학,2,임학역 2번 출구,37.6102072578868,126.92998576213
1069073113,임학,3,임학역 3번 출구,37.6102072578868,126.92998576213
1069073113,임학,4,임학역 4번 출구,37.6102072578868,126.92998576213
1069073114,계산,1,계산역 1번 출구,37.6102072578868,126.92998576213
1069073114,계산,2,계산역 2번 출구,37.6102072578868,126.92998576213
1069073114,계산,3,계산역 3번 출구,37.6102072578868,126.92998576213
1069073114,계산,4,계산역 4번 출구,37.6102072578868,126.92998576213
1069073114,계산,5,계산역 5번 출구,37.6102072578868,126.92998576213
1069073114,계산,6,계산역 6번 출구,37.6102072578868,126.92998576213
1003000309,원흥,1,원흥역 1번 출구,37.6102072578868,126.92998576213
1003000309,원흥,2,원흥역 2번 출구,37.6102072578868,126.92998576213
1003000309,원흥,3,원흥역 3번 출구,37.6102072578868,126.92998576213
1003000309,원흥,4,원흥역 4번 출구,37.6102072578868,126.92998576213
1003000309,원흥,5,원흥역 5번 출구,37.6102072578868,126.92998576213
1003000309,원흥,6,원흥역 6번 출구,37.6102072578868,126.92998576213
1003000309,원흥,7,원흥역 7번 출구,37.6102072578868,126.92998576213
1003000309,원흥,8,원흥역 8번 출구,37.6102072578868,126.92998576213
1063075319,강매,1,강매역 1번 출구,37.6102072578868,126.92998576213
1065006501,서울,3,서울역 3번 출구,37.6102072578868,126.92998576213
1065006501,서울,4,서울역 4번 출구,37.6102072578868,126.92998576213
1065006502,공덕,10,공덕역 10번 출구,37.6102072578868,126.92998576213
1065006502,공덕,9,공덕역 9번 출구,37.6102072578868,126.92998576213
1065006503,홍대입구,3,홍대입구역 3번 출구,37.6102072578868,126.92998576213
1065006503,홍대입구,4,홍대입구역 4번 출구,37.6102072578868,126.92998576213
1065006503,홍대입구,5,홍대입구역 5번 출구,37.6102072578868,126.92998576213
1065006503,홍대입구,6,홍대입구역 6번 출구,37.6102072578868,126.92998576213
1065006503,홍대입구,7,홍대입구역 7번 출구,37.6102072578868,126.92998576213
1065006504,디지털미디어시티,7,디지털미디어시티역 7번 출구,37.6102072578868,126.92998576213
1065006504,디지털미디어시티,8,디지털미디어시티역 8번 출구,37.6102072578868,126.92998576213
1065006504,디지털미디어시티,9,디지털미디어시티역 9번 출구,37.6102072578868,126.92998576213
1065006505,김포공항,4,김포공항역 4번 출구,37.6102072578868,126.92998576213
1065006507,검암,1,검암역 1번 출구,37.6102072578868,126.92998576213
1065065071,청라국제도시,1,청라국제도시역 1번 출구,37.6102072578868,126.92998576213
1065065071,청라국제도시,2,청라국제도시역 2번 출구,37.6102072578868,126.92998576213
1065006509,공항화물청사,1,공항화물청사역 1번 출구,37.6102072578868,126.92998576213
1065006509,공항화물청사,2,공항화물청사역 2번 출구,37.6102072578868,126.92998576213
1065006510,인천공항1터미널,1,인천공항1터미널역 1번 출구,37.6102072578868,126.92998576213
1065006510,인천공항1터미널,2,인천공항1터미널역 2번 출구,37.6102072578868,126.92998576213
1065006510,인천공항1터미널,3,인천공항1터미널역 3번 출구,37.6102072578868,126.92998576213
1071075251,달월,1,달월역 1번 출구,37.6102072578868,126.92998576213
1071075252,월곶,1,월곶역 1번 출구,37.6102072578868,126.92998576213
1063075331,금촌,1,금촌역 1번 출구,37.6102072578868,126.92998576213
1063075331,금촌,2,금촌역 2번 출구,37.6102072578868,126.92998576213
1063075330,금릉,1,금릉역 1번 출구,37.6102072578868,126.92998576213
1063075330,금릉,2,금릉역 2번 출구,37.6102072578868,126.92998576213
1063075329,운정,1,운정역 1번 출구,37.6102072578868,126.92998576213
1063075329,운정,2,운정역 2번 출구,37.6102072578868,126.92998576213
1063075327,탄현,1,탄현역 1번 출구,37.6102072578868,126.92998576213
1063075327,탄현,2,탄현역 2번 출구,37.6102072578868,126.92998576213
1063075326,일산,1,일산역 1번 출구,37.6102072578868,126.92998576213
1063075326,일산,2,일산역 2번 출구,37.6102072578868,126.92998576213
1063075325,풍산,1,풍산역 1번 출구,37.6102072578868,126.92998576213
1063075325,풍산,2,풍산역 2번 출구,37.6102072578868,126.92998576213
1063075324,백마,1,백마역 1번 출구,37.6102072578868,126.92998576213
1063075324,백마,2,백마역 2번 출구,37.6102072578868,126.92998576213
1063075323,곡산,1,곡산역 1번 출구,37.6102072578868,126.92998576213
1063075323,곡산,2,곡산역 2번 출구,37.6102072578868,126.92998576213
1063075321,능곡,1,능곡역 1번 출구,37.6102072578868,126.92998576213
1063075320,행신,1,행신역 1번 출구,37.6102072578868,126.92998576213
1063075320,행신,2,행신역 2번 출구,37.6102072578868,126.92998576213
