지하철역ID,지하철역명,출입구번호
1067080129,천마산,1
1067080129,천마산,2
1067080130,마석,1
1067080130,마석,2
1067080131,대성리,1
1067080131,대성리,2
1067080132,청평,1
1067080132,청평,2
1067080133,상천,1
1067080134,가평,1
1067080135,굴봉산,1
1067080135,굴봉산,2
1067080136,백양리,1
1067080137,강촌,1
1067080138,김유정,1
1067080139,남춘천,1
1067080139,남춘천,2
1067080139,남춘천,3
1067080140,춘천,1
1067080140,춘천,2
1069073110,계양,1
1069073111,귤현,1
1069073112,박촌,1
1069073112,박촌,2
1069073112,박촌,3
1069073112,박촌,4
1069073113,임학,1
1069073113,임학,2
1069073113,임학,3
1069073113,임학,4
1069073114,계산,1
1069073114,계산,2
1069073114,계산,3
1069073114,계산,4
1069073114,계산,5
1069073114,계산,6
1003000309,원흥,1
1003000309,원흥,2
1003000309,원흥,3
1003000309,원흥,4
1003000309,원흥,5
1003000309,원흥,6
1003000309,원흥,7
1003000309,원흥,8
1063075319,강매,1
1065006501,서울,3
1065006501,서울,4
1065006502,공덕,10
1065006502,공덕,9
1065006503,홍대입구,3
1065006503,홍대입구,4
1065006503,홍대입구,5
1065006503,홍대입구,6
1065006503,홍대입구,7
1065006504,디지털미디어시티,7
1065006504,디지털미디어시티,8
1065006504,디지털미디어시티,9
1065006505,김포공항,4
1065006507,검암,1
1065065071,청라국제도시,1
1065065071,청라국제도시,2
1065006509,공항화물청사,1
1065006509,공항화물청사,2
1065006510,인천공항1터미널,1
1065006510,인천공항1터미널,2
1065006510,인천공항1터미널,3
1071075251,달월,1
1071075252,월곶,1
1063075331,금촌,1
1063075331,금촌,2
1063075330,금릉,1
1063075330,금릉,2
1063075329,운정,1
1063075329,운정,2
1063075327,탄현,1
1063075327,탄현,2
1063075326,일산,1
1063075326,일산,2
1063075325,풍산,1
1063075325,풍산,2
1063075324,백마,1
1063075324,백마,2
1063075323,곡산,1
1063075323,곡산,2
1063075321,능곡,1
1063075320,행신,1
1063075320,행신,2
1063075318,화전,1
1063075318,화전,2
1063075317,수색,1
1063075316,디지털미디어시티,6
1063075315,가좌,1
1063075315,가좌,2
1063075315,가좌,3
1063075313,서강대,1
1063075313,서강대,2
1063075335,문산,1
1063075334,파주,1
1063075333,월롱,1
1063075112,서빙고,1
1063075112,서빙고,2
1063075113,한남,1
1063075115,응봉,1
1063075115,응봉,2
1063075116,왕십리,12
1063075116,왕십리,13
1063075117,청량리,1
1063075118,회기,2
1063075119,중랑,1
1063075119,중랑,2
1063075119,중랑,3
1063075119,중랑,4
1063075120,상봉,8
1063075121,망우,1
1063075122,양원,1
1063075122,양원,2
1063075123,구리,1
1063075123,구리,2
1063075123,구리,3
1063075124,도농,1
1063075124,도농,2
1063075125,양정,1
1063075125,양정,2
1063075126,덕소,1
1063075126,덕소,2
1063075126,덕소,3
1063075127,도심,1
1063075127,도심,2
1063075128,팔당,1
1063075129,운길산,1
1063075129,운길산,2
1063075130,양수,1
1063075130,양수,2
1063075131,신원,1
1063075132,국수,1
1063075133,아신,1
1063075134,오빈,1
1063075135,양평(경의중앙선),1
1063075135,양평(경의중앙선),2
1063075136,원덕,1
1063075137,용문,1
1063075137,용문,2
1063075137,용문,3
1063080312,신촌(경의중앙선),1
1063080312,신촌(경의중앙선),2
1063080313,서울,5
1067080120,상봉,7
1067080121,망우,2
1067080121,망우,3
1067080122,신내,1
1067080122,신내,2
1067080122,신내,3
1067080122,신내,4
1067080123,갈매,1
1067080123,갈매,2
1067080124,별내,1
1067080124,별내,2
1092004703,4.19 민주묘지,1
1092004703,4.19 민주묘지,2
1092004704,가오리,1
1092004704,가오리,2
1092004712,보문,2
1092004712,보문,3
1092004712,보문,4
1092004712,보문,5
1092004712,보문,6
1092004709,북한산보국문,1
1092004706,삼양,2
1092004707,삼양사거리,1
1092004707,삼양사거리,2
1092004711,성신여대입구,3
1092004711,성신여대입구,5
1092004711,성신여대입구,6
1092004711,성신여대입구,7
1092004702,솔밭공원,1
1092004708,솔샘,1
1092004708,솔샘,2
1092004713,신설동,1
1067080125,퇴계원,1
1067080125,퇴계원,2
1067080126,사릉,1
1067080127,금곡,1
1067080128,평내호평,1
1067080128,평내호평,2
1069073136,인천대입구,1
1069073136,인천대입구,2
1069073136,인천대입구,3
1069073136,인천대입구,4
1069073136,인천대입구,5
1069073137,센트럴파크,1
1069073137,센트럴파크,2
1069073137,센트럴파크,4
1069073138,국제업무지구,2
1069073138,국제업무지구,5
1071075253,소래포구,1
1071075253,소래포구,2
1071075254,인천논현,1
1071075254,인천논현,2
1071075254,인천논현,3
1071075254,인천논현,4
1071075255,호구포,1
1071075255,호구포,2
1071075256,남동인더스파크,1
1071075256,남동인더스파크,2
1071075257,원인재,4
1071075257,원인재,5
1071075258,연수,1
1071075258,연수,2
1071075259,송도,1
1075075211,서울숲,1
1075075211,서울숲,2
1075075211,서울숲,3
1075075211,서울숲,4
1075075212,압구정로데오,1
1075075212,압구정로데오,2
1075075212,압구정로데오,3
1075075212,압구정로데오,4
1075075212,압구정로데오,5
1075075212,압구정로데오,6
1075075212,압구정로데오,7
1075075214,선정릉,1
1075075214,선정릉,2
1075075214,선정릉,3
1075075214,선정릉,4
1075075215,선릉,2
1075075215,선릉,3
1075075215,선릉,6
1075075215,선릉,7
1075075215,선릉,8
1075075215,선릉,9
1075075216,한티,1
1075075216,한티,2
1075075216,한티,3
1075075216,한티,4
1075075216,한티,5
1075075216,한티,6
1075075216,한티,7
1075075216,한티,8
1075075217,도곡,1
1075075217,도곡,2
1075075217,도곡,3
1075075217,도곡,4
1075075218,구룡,1
1075075218,구룡,2
1075075218,구룡,3
1075075218,구룡,4
1075075218,구룡,5
1075075219,개포동,1
1075075219,개포동,2
1075075219,개포동,3
1075075219,개포동,4
1075075219,개포동,5
1075075219,개포동,6
1075075219,개포동,7
1075075219,개포동,8
1075075220,대모산입구,1
1075075220,대모산입구,2
1075075220,대모산입구,3
1075075220,대모산입구,4
1075075220,대모산입구,5
1075075220,대모산입구,6
1075075220,대모산입구,7
1075075220,대모산입구,8
1075075223,가천대,1
1075075223,가천대,2
1075075223,가천대,3
1075075223,가천대,4
1075075223,가천대,5
1075075224,태평,1
1075075224,태평,2
1075075224,태평,3
1075075224,태평,4
1075075224,태평,5
1075075224,태평,6
1075075225,모란,1
1075075225,모란,2
1075075225,모란,3
1075075225,모란,4
1075075225,모란,5
1075075225,모란,6
1075075225,모란,7
1075075225,모란,8
1075075226,야탑,1
1075075226,야탑,2
1075075226,야탑,3
1075075226,야탑,4
1075075227,이매,1
1075075227,이매,2
1075075227,이매,3
1075075227,이매,4
1075075227,이매,5
1075075227,이매,6
1075075228,서현,1
1075075228,서현,2
1075075228,서현,3
1075075228,서현,4
1075075228,서현,5
1075075229,수내,1
1075075229,수내,2
1075075229,수내,3
1075075229,수내,4
1069073115,경인교대입구,1
1069073115,경인교대입구,2
1069073115,경인교대입구,3
1069073115,경인교대입구,4
1069073115,경인교대입구,5
1069073115,경인교대입구,6
1069073116,작전,1
1069073116,작전,2
1069073116,작전,3
1069073116,작전,4
1069073116,작전,5
1069073116,작전,6
1069073116,작전,7
1069073116,작전,8
1069073117,갈산,1
1069073117,갈산,2
1069073117,갈산,3
1069073117,갈산,4
1069073118,부평구청,1
1069073118,부평구청,2
1069073118,부평구청,8
1069073118,부평구청,9
1069073119,부평시장,1
1069073119,부평시장,2
1069073119,부평시장,3
1069073119,부평시장,4
1069073120,부평,3
1069073120,부평,4
1069073120,부평,5
1069073120,부평,6
1069073120,부평,7
1069073120,부평,8
1069073121,동수,1
1069073121,동수,2
1069073121,동수,3
1069073121,동수,4
1069073122,부평삼거리,1
1069073122,부평삼거리,2
1069073122,부평삼거리,3
1069073122,부평삼거리,4
1069073123,간석오거리,1
1069073123,간석오거리,2
1069073123,간석오거리,3
1069073123,간석오거리,4
1069073123,간석오거리,5
1069073123,간석오거리,6
1069073123,간석오거리,7
1069073123,간석오거리,8
1069073123,간석오거리,9
1069073124,인천시청,1
1069073124,인천시청,2
1069073124,인천시청,3
1069073124,인천시청,4
1069073124,인천시청,5
1069073124,인천시청,6
1069073124,인천시청,7
1069073124,인천시청,8
1069073124,인천시청,9
1069073125,예술회관,1
1069073125,예술회관,10
1069073125,예술회관,11
1069073125,예술회관,2
1069073125,예술회관,3
1069073125,예술회관,4
1069073125,예술회관,5
1069073125,예술회관,6
1069073125,예술회관,7
1069073125,예술회관,8
1069073125,예술회관,9
1069073126,인천터미널,1
1069073126,인천터미널,2
1069073126,인천터미널,3
1069073126,인천터미널,4
1069073126,인천터미널,5
1069073126,인천터미널,6
1069073127,문학경기장,1
1069073127,문학경기장,2
1069073128,선학,1
1069073128,선학,2
1069073128,선학,3
1069073128,선학,4
1069073129,신연수,1
1069073129,신연수,2
1069073129,신연수,3
1069073129,신연수,4
1069073130,원인재,1
1069073130,원인재,2
1069073130,원인재,3
1069073130,원인재,6
1069073131,동춘,1
1069073131,동춘,2
1069073131,동춘,3
1069073131,동춘,4
1069073131,동춘,5
